id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
Q16193893,Rebeca Terán Guevara,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16221662,Regina Vázquez Saut,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16223124,René Fujiwara,,,PANAL,panal,,Chamber of Deputies,62,,,,male
Q2894271,Ricardo Anaya Cortés,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16146425,Ricardo Astudillo Suárez,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q6108068,Ricardo Cantú Garza,,,PT,pt,,Chamber of Deputies,62,,,,male
Q16215422,Ricardo Medina Fierro,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q6108337,Ricardo Mejía Berdeja,,,MC,mc,,Chamber of Deputies,62,,,,male
ricardo_monreal_Ávila,Ricardo Monreal Ávila,,,MRN,mrn,,Chamber of Deputies,62,,,,
Q6108393,Ricardo Pacheco Rodríguez,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16221666,Ricardo Villarreal García,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16206808,Roberto Carlos Reyes Gámiz,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190734,Roberto López González,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16194169,Roberto López Rosado,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190739,Roberto López Suárez,,,PRD,prd,,Chamber of Deputies,62,,,,male
roberto_ruiz_moronatti,Roberto Ruiz Moronatti,,,PRI,pri,,Chamber of Deputies,62,,,,
Q16146067,Rocío Abreu Artiñano,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16200923,Rocío Reza Gallegos,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16197234,Rodimiro Barrera Estrada,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q6110490,Rodolfo Dorador,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16193512,Rodrigo Chávez Contreras,,,MRN,mrn,,Chamber of Deputies,62,,,,male
Q16190498,Rodrigo González Barrios,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16137131,Román Padilla Fierro,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16204869,Rosa Elba Pérez,,,PVEM,pvem,,Chamber of Deputies,62,,,,female
Q6112158,Rosa Elia Romero Guzmán,,,PT,pt,,Chamber of Deputies,62,,,,female
rosalba_de_la_cruz_requena,Rosalba De la Cruz Requena,,,PRI,pri,,Chamber of Deputies,62,,,,
Q16196493,Rosalba Gualito Castañeda,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16191237,Rosendo Serrano Toledo,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190747,Roxana Luna Porquillo,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16214426,Roy Argel Gómez Olguín,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16146189,Rubén Acosta Montoya,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q6113181,Rubén Camarillo Ortega,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16195530,Rubén Félix Hays,,,PANAL,panal,,Chamber of Deputies,62,,,,male
ruth_zavaleta_salgado,Ruth Zavaleta Salgado,,,PVEM,pvem,,Chamber of Deputies,62,,,,
salomón_juan_marcos_issa,Salomón Juan Marcos Issa,,,PRI,pri,,Chamber of Deputies,62,,,,
Q16147432,Salvador Arellano Guzmán,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q6117631,Salvador Barajas del Toro,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16195722,Salvador Ortíz García,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16193830,Salvador Romero Valencia,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16199494,Samuel Gurrión Matías,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16191144,Sebastián De la Rosa Peláez,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16214778,Sergio Armando Chávez Davalos,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16196863,Sergio Augusto Chan Lugo,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16196740,Sergio Torres Félix,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q7515707,Silvano Aureoles Conejo,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190172,Silvano Blanco Deaquino,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16194182,Silvia Márquez Velasco,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16194849,Simón Valanci,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16194758,Socorro Quintana León,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16200402,Sonia Catalina Mercado,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16151944,Sonia Rincón Chanona,,,PANAL,panal,,Chamber of Deputies,62,,,,female
Q16193056,Soraya Córdova,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16199015,Sue Ellen Bernal,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16223820,Tania Morgan Navarrete,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16217576,Tanya Rellstab Carreto,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q5851029,Teresa Mojica,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16190190,Teresita de Jesús Borges,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16190202,Tomás Brito Lara,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16145455,Tomás López Landero,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q7820523,Tomás Torres Mercado,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q6152748,Trinidad Morales Vargas,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16190423,Uriel Flores Aguayo,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16186685,Valentín González Bautista,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16213369,Verónica Carreón Cervantes,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16190459,Verónica García Reyes,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16190627,Verónica Juárez Piña,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16195306,Verónica Sada Pérez,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16193802,Vicario Portillo Martínez,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16145023,Víctor Emanuel Díaz Palacios,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16213826,Víctor Hugo Velasco Orozco,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16114032,Víctor Manuel Bautista López,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16186732,Víctor Manuel Jorrín,,,MC,mc,,Chamber of Deputies,62,,,,male
Q16221887,Víctor Manuel Manríquez,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16215261,Víctor Oswaldo Fuentes Solís,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16193122,Víctor Rafael González,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16186807,Víctor Reymundo Nájera,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16213636,Víctor Serralde Martínez,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16189521,William Renán Sosa Altamira,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16217519,Williams Ochoa,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16147614,Xavier Azuara Zúñiga,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16190312,Yazmín Copete,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16190933,Yesenia Nolasco Ramírez,,,PRD,prd,,Chamber of Deputies,62,,,,female
Q16187255,Zita Beatriz Pazzi,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16217344,Zuleyma Huidobro,,,MC,mc,,Chamber of Deputies,62,,,,female
Q16196588,Ángel Abel Mavil,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16190252,Ángel Cedillo Hernández,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16195419,Óscar Bautista Villegas,,,PRI,pri,,Chamber of Deputies,62,,,,male
